"","subject","hungover","control"
"1","57",510,485
"2","59",487,502
"3","60",535,502
"4","61",507,451
"5","63",447,463
"6","64",446,414
"7","68",430,419
"8","73",520,485
"9","74",502,494
"10","77",445,502
"11","80",531,483
"12","82",516,512
"13","83",610,505
"14","84",393,408
"15","85",544,514
"16","87",501,506
"17","89",633,463
"18","103",387,391
"19","105",490,432
"20","109",622,668
"21","116",516,499
"22","120",538,548
"23","121",503,503
"24","129",456,452
"25","130",512,511
"26","133",629,471
"27","138",415,417
"28","139",574,496
"29","148",562,540
"30","152",585,493
"31","178",741,552
