"","subject","hungover","control"
"1","57",144.67,121.87
"2","59",115.92,147.69
"3","60",197.17,132.93
"4","61",153.71,151.23
"5","63",83.15,86.25
"6","64",144.83,100.66
"7","68",103.77,77.22
"8","73",127.19,88.05
"9","74",301.87,202.25
"10","77",82.86,165.69
"11","80",284.32,238.63
"12","82",207.52,217.72
"13","83",338.5,152
"14","84",89.82,88.5
"15","85",110.9,96.35
"16","87",132.79,130.66
"17","89",138.31,127.16
"18","103",89.59,96.33
"19","105",159.24,103.8
"20","109",619.39,436.14
"21","116",180.95,98.94
"22","120",228.01,137.27
"23","121",201.78,223.07
"24","129",146.3,110.15
"25","130",312.32,106.79
"26","133",508.78,183.89
"27","138",140.29,97.39
"28","139",854.65,469.08
"29","148",292.23,159.9
"30","152",272.32,123.37
"31","178",313.53,183.48
