"","subject","Rep50Same","Rep50Different","Rep1000Same","Rep1000Different","Sw50Same","Sw50Different","Sw1000Same","Sw1000Different","condition"
"4",12,529,566,489,459,649,616,493,535,"Perceptual"
"5",13,503,554,513,562,780,925,800,834,"Perceptual"
"6",14,711,643,617,590,769,742,840,778,"Perceptual"
"9",17,920,895,729,723,897,929,709,735,"Perceptual"
"10",18,659,830,597,754,1173,1234,1187,1275,"Perceptual"
"11",19,702,679,798,1028,1075,1161,1174,1118,"Perceptual"
"12",2,885,929,719,930,1194,984,825,896,"Perceptual"
"14",21,513,481,464,513,754,731,611,556,"Perceptual"
"16",23,667,665,768,920,916,957,823,1056,"Perceptual"
"17",24,647,642,498,621,808,716,571,601,"Perceptual"
"19",26,640,651,602,694,1091,1108,866,827,"Perceptual"
"20",27,402,402,531,553,809,711,703,658,"Perceptual"
"21",28,712,734,700,630,798,812,712,755,"Perceptual"
"22",3,544,529,453,483,637,613,550,605,"Perceptual"
"23",4,472,447,401,487,544,601,469,548,"Perceptual"
"24",5,565,550,545,580,755,786,671,780,"Perceptual"
"25",6,874,1267,1115,1422,1473,1617,1590,1586,"Perceptual"
"27",8,599,626,611,657,971,996,827,885,"Perceptual"
"28",9,529,527,568,541,732,762,654,608,"Perceptual"
"29",29,617,597,601,547,1105,1063,845,888,"Perceptual"
"31",31,666,682,628,817,1007,1143,907,1094,"Perceptual"
"32",32,688,647,614,594,769,797,606,669,"Perceptual"
"33",33,491,478,496,546,656,681,569,610,"Perceptual"
"34",34,894,917,1198,1289,1103,876,1127,1367,"Perceptual"
"35",35,510,495,483,481,572,632,514,465,"Perceptual"
"41",12,1306,1135,984,1712,1865,1413,1357,2076,"Memory"
"51",13,824,712,867,1229,1856,1951,1918,1913,"Memory"
"61",14,1063,729,988,1383,1706,1710,1415,1646,"Memory"
"91",17,1063,877,1344,1580,1698,1669,2647,2152,"Memory"
"101",18,729,677,795,925,1088,1348,1145,1304,"Memory"
"111",19,912,915,1185,1306,1216,1304,1396,1523,"Memory"
"121",2,1002,930,1062,1287,1256,1363,1334,1318,"Memory"
"141",21,612,661,788,893,1135,1036,1269,1100,"Memory"
"161",23,875,894,907,1150,1085,1020,1102,1154,"Memory"
"171",24,1099,800,899,1030,1531,1366,1344,1710,"Memory"
"191",26,695,636,783,1018,1503,1570,1513,1666,"Memory"
"201",27,755,578,869,1006,1040,1078,1074,1127,"Memory"
"211",28,731,770,898,1075,1039,1121,1201,1142,"Memory"
"221",3,760,805,1032,1053,1062,1088,1203,1249,"Memory"
"231",4,905,680,726,906,1280,1087,1559,1417,"Memory"
"241",5,679,824,818,1130,1321,1245,1247,1238,"Memory"
"251",6,815,719,739,1068,1333,1399,1479,1673,"Memory"
"271",8,762,801,739,907,1399,1389,1226,1283,"Memory"
"281",9,830,814,1046,1054,1087,1316,1189,1296,"Memory"
"291",29,911,808,995,1067,1870,1845,1607,1751,"Memory"
"311",31,876,844,848,1306,1333,1315,1302,1432,"Memory"
"321",32,801,859,1055,1084,1110,1372,1267,1194,"Memory"
"331",33,755,682,736,877,1003,993,1100,1160,"Memory"
"341",34,818,692,732,1022,1085,1056,1048,1066,"Memory"
"351",35,718,745,832,780,1044,1257,1404,983,"Memory"
