Subject,Block,sequence,stimulus.ACC,stimulus.CRESP,stimulus.RT
1,1,CBA,1,2,851
1,2,CBA,1,1,702
1,3,ABA,1,1,1062
1,4,CBA,1,1,880
1,5,ABA,1,5,1063
1,6,CBA,1,4,781
1,7,CBA,1,4,954
1,8,CBA,1,5,1535
1,9,ABA,1,1,951
1,10,ABA,1,1,748
1,11,CBA,1,4,762
1,12,ABA,1,1,1833
1,13,ABA,1,4,1039
1,14,ABA,1,5,848
1,15,ABA,1,4,637
1,16,CBA,1,2,642
1,17,CBA,1,4,696
1,18,ABA,1,1,689
1,19,CBA,1,5,640
1,20,ABA,1,4,1240
1,21,ABA,1,1,994
1,22,CBA,1,1,719
1,23,ABA,1,5,628
1,24,CBA,1,1,743
1,25,ABA,1,1,705
1,26,ABA,1,2,648
1,27,CBA,1,4,827
1,28,CBA,1,4,648
1,29,ABA,1,2,1378
1,30,CBA,1,1,1999
1,31,ABA,1,4,839
1,32,CBA,1,4,704
1,33,CBA,1,4,2062
1,34,ABA,1,4,1074
1,35,ABA,1,5,687
1,36,CBA,1,5,1007
1,37,ABA,1,4,655
1,38,ABA,1,2,1215
1,39,CBA,1,2,709
1,40,CBA,1,1,1587
1,41,CBA,1,5,2248
1,42,CBA,1,2,656
1,43,ABA,1,4,752
1,44,CBA,1,4,812
1,45,CBA,1,5,1886
1,46,CBA,1,4,2892
1,47,ABA,1,1,527
1,48,CBA,1,2,484
1,49,ABA,1,2,673
1,50,CBA,1,2,1112
1,51,ABA,1,4,677
1,52,ABA,1,2,718
1,53,ABA,1,5,578
1,54,ABA,1,4,1717
1,55,ABA,1,5,2476
1,56,ABA,1,5,970
1,57,CBA,1,2,793
1,58,ABA,1,5,690
1,59,ABA,1,1,655
1,60,CBA,1,5,590
1,61,CBA,1,4,701
1,62,ABA,1,2,947
1,63,ABA,1,1,3283
1,64,ABA,1,2,648
1,65,ABA,1,5,986
1,66,ABA,1,5,797
1,67,ABA,1,5,1293
1,68,ABA,1,2,681
1,69,ABA,1,5,727
1,70,ABA,1,2,1009
1,71,ABA,1,5,589
1,72,CBA,1,4,775
1,73,ABA,1,4,853
1,74,ABA,1,1,1739
1,75,ABA,1,5,969
1,76,ABA,1,2,790
1,77,CBA,1,1,665
1,78,ABA,1,2,2273
1,79,ABA,1,4,544
1,80,CBA,1,1,1080
1,81,ABA,1,5,682
1,82,CBA,1,1,733
1,83,CBA,1,5,756
1,84,ABA,1,5,996
1,85,ABA,1,2,870
1,86,ABA,1,4,1576
1,87,ABA,1,1,1083
1,88,ABA,1,2,710
1,89,ABA,1,2,1363
1,90,CBA,1,2,769
1,91,CBA,1,5,1341
1,92,ABA,1,5,2045
1,93,ABA,1,1,677
1,94,ABA,1,4,1164
1,95,CBA,1,4,3816
1,96,ABA,1,4,597
1,97,CBA,1,1,772
1,98,CBA,1,1,2022
1,99,ABA,1,4,702
1,100,ABA,1,5,737
1,101,CBA,1,1,634
1,102,CBA,1,2,770
1,103,CBA,1,5,985
1,104,CBA,1,2,584
