Subject,Block,sequence,stimN1,stimN2,stimulus.ACC,stimulus.CRESP,stimulus.RT
1,1,CBA,switch,switch,1,5,1308
1,2,CBA,switch,switch,1,4,609
1,3,ABA,switch,switch,0,4,337
1,4,ABA,switch,switch,1,1,639
1,5,CBA,switch,switch,1,1,542
1,6,ABA,switch,switch,1,5,649
1,7,CBA,switch,switch,1,2,392
1,8,CBA,switch,switch,1,5,1073
1,9,ABA,switch,switch,1,1,471
1,10,CBA,switch,switch,1,2,509
1,11,ABA,switch,switch,1,1,458
1,12,CBA,switch,switch,0,4,449
1,13,CBA,switch,switch,1,1,642
1,14,CBA,switch,switch,1,5,450
1,15,ABA,switch,switch,1,2,1031
1,16,CBA,switch,switch,1,4,743
1,17,CBA,switch,switch,1,4,442
1,18,ABA,switch,switch,1,1,1449
1,19,ABA,switch,switch,1,4,504
1,20,CBA,switch,switch,1,1,477
1,21,ABA,switch,switch,1,2,603
1,22,ABA,switch,switch,1,5,1107
1,23,ABA,switch,switch,1,5,1144
1,24,ABA,switch,switch,1,1,779
1,25,CBA,switch,switch,0,2,1253
1,26,CBA,switch,switch,0,1,949
1,27,ABA,switch,switch,0,4,2851
1,28,CBA,switch,switch,1,5,540
1,29,ABA,switch,switch,1,4,1744
1,30,ABA,switch,switch,1,2,611
1,31,ABA,switch,switch,1,5,972
1,32,CBA,repetition,switch,1,2,414
1,33,CBA,switch,switch,1,4,455
1,34,ABA,switch,switch,1,5,758
1,35,ABA,switch,switch,1,1,529
1,36,CBA,switch,switch,1,2,1509
1,37,ABA,switch,switch,1,2,585
1,38,ABA,switch,switch,0,5,1011
1,39,ABA,switch,switch,1,4,420
1,40,ABA,switch,switch,0,2,1893
1,41,CBA,switch,switch,1,4,1556
1,42,CBA,switch,switch,1,4,439
1,43,CBA,switch,switch,1,1,823
1,44,ABA,switch,switch,1,2,455
1,45,ABA,switch,switch,1,5,1621
1,46,CBA,switch,switch,1,1,373
1,47,CBA,switch,switch,1,4,415
1,48,ABA,switch,switch,1,1,983
