"Subject","muHangover","sigmaHangover","tauHangover","muControl","sigmaControl","tauControl"
57,411,59,136,408,62,93
59,413,50,103,396,47,142
60,441,44,145,415,60,114
61,411,42,134,375,36,102
63,383,44,71,402,37,74
64,351,62,119,342,35,94
68,353,44,97,365,32,69
73,442,36,120,425,34,76
74,349,37,219,379,34,180
77,390,37,65,410,38,121
80,370,55,260,367,41,176
82,372,43,193,376,37,203
83,440,60,267,408,48,132
84,341,30,73,348,28,82
85,466,60,96,439,36,92
87,417,39,116,415,46,121
89,524,63,129,397,36,95
103,329,42,75,328,36,94
105,395,54,136,366,44,83
109,427,57,388,467,36,330
116,413,39,137,433,37,88
120,397,54,192,457,68,117
121,399,47,157,408,43,152
129,366,44,126,382,41,97
130,382,62,199,444,44,82
133,390,32,428,372,20,162
138,322,20,128,343,47,85
139,367,54,428,351,45,255
148,443,56,172,440,52,129
152,418,52,228,410,60,107
178,505,52,325,426,41,183
