"","subject","hungover","control"
"1","57",95.59,88.73
"2","59",90.69,97.54
"3","60",95.59,94.61
"4","61",85.29,92.16
"5","63",84.31,89.22
"6","64",89.22,92.16
"7","68",95.59,96.08
"8","73",97.55,96.57
"9","74",93.14,95.1
"10","77",94.12,97.55
"11","80",97.55,95.59
"12","82",94.12,95.1
"13","83",95.1,94.61
"14","84",90.69,89.71
"15","85",96.08,96.08
"16","87",97.55,97.55
"17","89",99.51,98.04
"18","103",92.16,91.67
"19","105",95.59,95.1
"20","109",92.16,98.04
"21","116",94.61,96.08
"22","120",91.18,96.08
"23","121",96.57,98.04
"24","129",94.12,91.67
"25","130",90.15,96.57
"26","133",99.02,98.04
"27","138",88.73,87.25
"28","139",92.65,93.14
"29","148",96.08,98.04
"30","152",90.69,83.82
"31","178",95.59,93.63
