"","subject","hungover","control"
"1","57",548,501
"2","59",516,539
"3","60",585,528
"4","61",546,477
"5","63",454,475
"6","64",471,437
"7","68",450,433
"8","73",561,500
"9","74",568,558
"10","77",456,531
"11","80",630,543
"12","82",565,579
"13","83",706,539
"14","84",413,429
"15","85",561,531
"16","87",533,536
"17","89",653,491
"18","103",404,421
"19","105",531,449
"20","109",815,797
"21","116",550,520
"22","120",589,573
"23","121",556,559
"24","129",492,479
"25","130",581,525
"26","133",818,533
"27","138",450,429
"28","139",794,605
"29","148",614,569
"30","152",646,518
"31","178",830,609
