Subject,Condition,Accuracy,RT
101,hungover,1,1679
101,hungover,1,539
101,hungover,1,636
101,hungover,1,473
101,hungover,1,505
101,hungover,1,436
101,hungover,1,488
101,hungover,1,527
101,hungover,1,464
101,hungover,1,694
101,hungover,1,440
101,hungover,0,473
101,hungover,1,831
101,hungover,1,600
101,hungover,1,559
101,hungover,1,491
101,hungover,1,622
101,hungover,1,535
101,hungover,1,870
101,hungover,1,677
101,hungover,1,552
101,hungover,1,530
101,hungover,1,426
101,hungover,0,385
101,hungover,1,411
101,hungover,1,379
101,hungover,1,505
101,hungover,1,477
101,hungover,1,756
101,hungover,1,438
101,hungover,1,617
101,hungover,0,268
101,hungover,1,579
101,hungover,1,467
101,hungover,1,427
101,hungover,1,682
101,hungover,1,697
101,hungover,0,416
101,hungover,1,844
101,hungover,1,504
101,hungover,1,801
101,hungover,1,528
101,hungover,1,681
101,hungover,1,493
101,hungover,1,786
101,hungover,1,558
101,hungover,1,524
101,hungover,1,705
101,hungover,1,576
101,hungover,1,624
101,hungover,1,614
101,hungover,1,483
101,hungover,1,427
101,hungover,1,493
101,hungover,1,409
101,hungover,1,514
101,hungover,1,903
101,hungover,1,470
101,hungover,1,731
101,hungover,1,502
101,hungover,1,531
101,hungover,1,508
101,hungover,1,526
101,hungover,1,655
101,hungover,1,496
101,hungover,1,489
101,hungover,1,411
101,hungover,1,585
101,hungover,1,416
101,hungover,1,264
101,hungover,1,463
101,hungover,1,470
101,hungover,1,467
101,hungover,1,523
101,hungover,0,273
101,hungover,0,346
101,hungover,0,380
101,hungover,1,587
101,hungover,1,591
101,hungover,1,480
101,hungover,1,532
101,hungover,1,412
101,hungover,1,597
101,hungover,1,926
101,hungover,0,486
101,hungover,0,520
101,hungover,1,545
101,hungover,1,615
101,hungover,1,882
101,hungover,1,562
101,hungover,1,373
101,hungover,1,439
101,hungover,1,434
101,hungover,1,381
101,hungover,1,455
101,hungover,1,500
101,hungover,1,665
101,hungover,1,378
101,hungover,1,388
101,hungover,1,443
101,hungover,1,1012
101,hungover,1,567
101,hungover,1,455
101,hungover,0,397
101,hungover,1,453
101,hungover,1,379
101,hungover,1,420
101,hungover,0,558
101,hungover,1,608
101,hungover,1,625
101,hungover,1,592
101,hungover,1,543
101,hungover,1,574
101,hungover,1,669
101,hungover,1,467
101,hungover,1,585
101,hungover,1,400
101,hungover,1,623
101,hungover,1,459
101,hungover,1,478
101,hungover,1,614
101,hungover,1,451
101,hungover,1,500
101,hungover,1,450
101,hungover,1,382
101,hungover,1,382
101,hungover,1,376
101,hungover,1,462
101,hungover,1,532
101,hungover,1,385
101,hungover,1,451
101,hungover,1,422
101,hungover,1,369
101,hungover,0,321
101,hungover,1,494
101,hungover,1,422
101,hungover,1,615
101,hungover,1,424
101,hungover,1,388
101,hungover,1,424
