participant,rumination,processing,age,sex,gap
1,13,68,18,1,6
2,15,113,18,1,7
3,14,113,18,1,1
4,,75,19,1,
5,24,90,18,1,1
6,16,81,18,2,7
7,21,99,18,1,7
8,23,72,18,1,7
9,17,92,19,1,1
10,25,66,19,1,5
11,21,85,18,1,7
12,17,100,19,1,5
13,15,108,19,1,3
14,22,93,19,1,1
15,18,63,18,2,1
16,16,86,19,2,8
17,20,73,21,1,1
18,26,88,19,1,1
19,19,70,19,1,1
20,15,91,19,1,1
21,11,95,19,1,5
22,22,99,18,1,4
23,17,78,19,1,2
24,23,99,18,1,1
25,30,110,18,1,1
26,13,90,19,1,3
27,16,100,18,1,4
28,37,106,19,1,6
29,11,88,19,1,3
30,13,105,18,1,1
31,20,94,18,1,3
32,29,56,18,1,1
33,18,76,18,1,1
34,24,70,20,1,1
35,19,70,18,1,1
36,24,74,18,1,2
37,22,86,20,1,2
38,17,85,18,1,7
39,26,86,18,1,2
40,16,84,19,2,2
41,23,78,18,1,7
42,18,100,19,1,1
43,15,105,18,2,3
44,21,70,20,1,1
45,15,102,20,1,2
46,16,103,18,1,1
47,21,97,18,1,1
48,19,102,19,1,1
49,21,73,18,2,2
50,21,85,18,1,5
51,16,99,18,1,1
52,29,56,19,1,1
53,28,82,20,1,3
54,22,104,18,1,1
55,15,76,18,1,1
56,25,67,19,1,1
57,17,82,25,2,1
58,13,98,18,2,7
59,21,100,20,1,6
60,23,93,19,1,4
61,27,88,20,1,4
62,13,107,19,1,3
63,32,89,18,1,3
64,15,98,18,2,1
65,13,94,19,1,3
66,15,85,18,1,1
67,19,83,19,2,3
68,15,,20,1,1
69,20,105,19,1,1
70,12,74,18,2,2
71,13,74,19,1,
72,12,82,18,1,5
73,16,97,18,1,1
74,19,79,19,2,1
75,26,105,18,1,1
76,24,80,20,1,1
77,16,77,18,1,1
78,,113,18,1,
79,25,97,19,1,7
80,22,74,19,2,7
81,27,91,19,1,7
82,17,102,,1,2
83,24,72,18,1,7
84,22,95,19,1,3
85,11,95,19,1,1
86,20,91,18,1,3
87,18,88,19,2,6
88,17,91,19,1,7
89,18,103,18,1,7
90,19,121,19,1,3
91,21,86,19,1,6
92,23,66,19,1,6
93,19,77,20,1,1
94,19,111,19,1,3
